Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
South Korea,2005,Asthma,Autoimmune,2.41,5.74,5.58,61+,Female,713552,94.3,4.89,9.91,Therapy,5708,No,65.05,3357,6.5,14607,0.82,52.49
Germany,2003,Hepatitis,Viral,1.57,5.68,6.89,0-18,Female,728797,81.03,2.39,2.26,Surgery,38558,No,77.09,525,6.74,48103,0.4,59.52
Russia,2011,Parkinson's Disease,Autoimmune,16.68,6.88,2.22,0-18,Male,815348,50.8,3.75,5.0,Medication,35945,Yes,85.38,2948,7.0,2064,0.86,33.85
Mexico,2020,Dengue,Neurological,10.12,14.95,5.99,61+,Female,130680,90.22,3.87,9.21,Therapy,18741,Yes,86.78,2525,0.04,88559,0.86,62.69
Australia,2000,Rabies,Parasitic,14.84,2.45,5.33,0-18,Female,52043,50.78,4.96,3.69,Surgery,49160,Yes,74.28,273,9.66,4363,0.89,65.52
Russia,2000,Ebola,Respiratory,12.34,6.68,7.49,36-60,Other,223321,97.55,4.05,4.01,Medication,2511,Yes,65.27,2293,9.53,25868,0.46,26.0
Nigeria,2002,Diabetes,Viral,6.24,7.2,3.77,61+,Male,368655,70.82,2.38,8.95,Therapy,28937,No,83.44,72,1.55,4699,0.48,54.78
Italy,2009,Alzheimer's Disease,Genetic,1.62,5.38,2.93,61+,Male,486113,83.59,2.53,2.14,Medication,30614,No,61.23,4288,7.18,14306,0.43,78.76
China,2020,Alzheimer's Disease,Parasitic,11.99,7.96,1.58,61+,Male,704130,57.28,1.34,1.64,Vaccination,3054,Yes,90.93,3939,6.32,30155,0.72,73.82
Russia,2014,Diabetes,Viral,14.08,7.55,1.25,0-18,Female,925106,66.25,1.56,10.0,Medication,46099,Yes,89.71,1316,9.69,98193,0.42,35.03
Australia,2009,Parkinson's Disease,Genetic,12.86,11.08,2.08,19-35,Other,538726,98.74,1.92,2.84,Therapy,32714,Yes,52.79,1788,9.95,85051,0.78,66.16
Germany,2000,Ebola,Viral,13.82,5.53,8.32,61+,Female,497781,73.56,4.2,8.96,Therapy,24555,Yes,60.77,2482,9.83,42220,0.42,70.51
Brazil,2023,Cholera,Bacterial,14.6,1.09,6.96,61+,Male,480216,72.03,1.88,3.7,Therapy,41097,Yes,94.51,2789,5.12,69601,0.66,67.85
UK,2006,Tuberculosis,Infectious,1.66,6.07,7.36,0-18,Other,724272,55.42,1.28,8.15,Vaccination,19555,Yes,96.79,3626,2.4,29192,0.44,85.11
Canada,2017,Dengue,Bacterial,9.24,1.61,9.52,19-35,Female,719938,98.73,1.55,8.95,Surgery,4433,Yes,51.44,1825,2.28,59991,0.88,63.84
Germany,2000,Zika,Parasitic,7.32,3.61,8.21,19-35,Female,900264,69.0,4.69,7.42,Surgery,23988,Yes,57.17,391,0.92,81602,0.86,83.51
Turkey,2007,Dengue,Bacterial,5.09,4.7,2.73,36-60,Male,118790,97.21,2.0,9.15,Therapy,40496,No,86.1,2046,2.32,35964,0.44,58.35
Italy,2015,Tuberculosis,Genetic,0.26,12.69,0.57,0-18,Male,564911,94.96,0.56,4.18,Therapy,21766,Yes,70.55,3140,1.89,56660,0.78,24.87
China,2005,Influenza,Chronic,13.27,0.73,4.7,36-60,Male,931750,50.18,4.11,8.85,Vaccination,45022,Yes,54.33,1210,4.16,3574,0.88,52.81
Canada,2007,Alzheimer's Disease,Chronic,12.86,13.61,2.19,36-60,Other,962770,59.43,2.95,9.93,Medication,41316,No,64.28,3168,3.86,59158,0.7,71.91
South Korea,2006,Cancer,Cardiovascular,12.1,4.98,9.08,36-60,Male,969312,83.46,4.57,4.78,Vaccination,48218,No,74.62,1075,8.54,36936,0.67,44.51
Mexico,2001,Leprosy,Metabolic,19.18,9.53,6.5,19-35,Female,404100,85.07,3.78,8.32,Therapy,47294,No,94.04,3857,7.23,68312,0.74,21.14
Brazil,2013,Diabetes,Infectious,10.59,11.58,0.7,61+,Female,85401,79.04,2.48,2.03,Vaccination,17962,Yes,71.77,3715,9.1,75691,0.66,81.39
USA,2020,Influenza,Autoimmune,18.27,11.01,3.3,19-35,Other,739968,86.94,4.81,4.73,Therapy,30409,No,95.14,4073,2.64,21491,0.76,79.27
Indonesia,2009,Diabetes,Metabolic,9.69,2.06,8.39,61+,Female,52110,85.86,4.63,1.84,Vaccination,21623,No,62.56,1893,6.24,62897,0.76,73.72
Russia,2010,COVID-19,Parasitic,4.52,11.35,8.01,36-60,Other,403710,69.26,4.44,3.42,Vaccination,33718,No,90.91,4976,7.12,90148,0.86,67.77
France,2024,Parkinson's Disease,Autoimmune,6.68,11.92,6.81,61+,Female,42803,69.1,4.93,0.61,Medication,10962,Yes,88.87,1355,4.52,76482,0.68,26.75
Mexico,2002,Dengue,Respiratory,1.51,7.46,9.51,61+,Male,246890,54.18,1.75,1.48,Medication,5585,Yes,95.11,308,0.06,30201,0.48,82.42
Russia,2006,Malaria,Cardiovascular,12.72,14.64,0.37,36-60,Male,952851,71.36,2.7,2.59,Vaccination,29008,No,72.12,2901,3.61,7020,0.76,44.02
UK,2016,Tuberculosis,Respiratory,10.13,14.67,8.12,0-18,Female,394075,61.17,1.31,9.63,Medication,33856,No,78.79,877,1.06,24364,0.61,61.92
Turkey,2023,Malaria,Infectious,0.75,8.75,1.6,61+,Other,240932,86.48,2.01,4.94,Surgery,20928,Yes,84.66,1768,5.47,77451,0.69,39.02
Argentina,2004,Tuberculosis,Neurological,4.28,9.53,1.59,0-18,Other,121418,96.02,1.59,8.45,Medication,30844,No,59.54,517,5.37,96342,0.82,69.15
South Africa,2014,Diabetes,Metabolic,7.81,1.73,6.37,0-18,Other,183214,63.05,0.67,8.12,Medication,11335,No,60.13,2168,7.79,22704,0.41,72.06
Italy,2010,Hypertension,Infectious,6.08,10.0,5.51,0-18,Female,443392,87.93,1.09,4.59,Therapy,8833,Yes,77.59,4780,0.19,26487,0.74,57.01
Japan,2016,Dengue,Bacterial,15.95,7.66,3.48,0-18,Female,538277,78.48,1.62,3.32,Therapy,32362,No,72.8,471,2.45,50187,0.71,79.26
India,2005,Tuberculosis,Respiratory,17.15,8.39,6.26,36-60,Female,600465,86.04,1.16,6.52,Therapy,38818,No,59.86,669,6.7,24727,0.71,27.77
Saudi Arabia,2024,Zika,Viral,9.14,12.39,6.48,61+,Other,661849,93.15,1.82,8.35,Therapy,14008,Yes,61.22,2736,2.06,56229,0.69,86.23
Indonesia,2020,Parkinson's Disease,Chronic,1.89,8.49,8.79,61+,Other,576031,55.94,1.76,0.68,Therapy,28806,Yes,69.31,907,0.03,39313,0.75,78.01
South Korea,2014,Malaria,Cardiovascular,10.91,5.22,5.61,36-60,Female,715946,55.45,4.75,9.4,Medication,27907,No,93.5,3941,6.38,99686,0.76,78.26
India,2008,HIV/AIDS,Neurological,7.48,6.9,2.94,36-60,Female,358234,79.18,1.14,3.13,Vaccination,11148,No,65.98,241,8.93,28417,0.69,23.06
Japan,2010,Leprosy,Infectious,1.64,0.95,0.4,36-60,Female,980888,93.52,1.7,1.14,Surgery,45678,No,76.71,248,3.88,6764,0.41,27.64
France,2000,Asthma,Genetic,19.62,5.45,5.12,36-60,Other,382629,83.01,2.6,2.66,Surgery,7132,No,56.67,3462,8.94,48107,0.64,75.34
Indonesia,2006,Leprosy,Autoimmune,17.76,14.21,9.32,36-60,Female,590011,81.47,2.61,1.76,Therapy,40517,Yes,73.98,1267,4.46,55029,0.42,63.81
USA,2001,Rabies,Cardiovascular,8.38,9.8,9.52,61+,Male,502469,52.39,0.57,8.02,Vaccination,15459,No,96.01,676,8.91,23354,0.59,31.21
Canada,2018,Cancer,Neurological,6.97,7.73,5.31,19-35,Male,945370,51.09,4.71,9.97,Vaccination,13992,No,55.72,2971,8.28,82231,0.57,65.76
Nigeria,2020,Malaria,Bacterial,18.91,13.31,1.37,61+,Female,706579,83.69,1.52,7.57,Vaccination,40849,No,56.59,4604,0.13,35250,0.89,35.01
Brazil,2022,HIV/AIDS,Neurological,9.5,9.25,9.59,0-18,Male,549518,65.28,0.53,0.76,Vaccination,37728,No,91.23,151,4.54,76636,0.69,44.3
Saudi Arabia,2004,HIV/AIDS,Autoimmune,13.15,13.4,9.59,0-18,Male,789087,57.59,1.56,9.65,Medication,31898,Yes,73.55,2562,0.46,60956,0.72,78.94
Mexico,2014,Tuberculosis,Chronic,3.05,8.69,7.69,36-60,Other,756716,82.14,4.7,6.65,Vaccination,11589,No,83.89,3463,7.25,11621,0.69,82.37
Indonesia,2014,Rabies,Autoimmune,12.14,7.48,3.18,19-35,Other,417779,72.08,1.64,4.78,Surgery,20518,No,93.44,142,6.55,41291,0.48,40.8
Mexico,2010,Hepatitis,Parasitic,9.1,7.81,7.94,36-60,Female,529628,85.9,2.9,6.57,Vaccination,49486,Yes,53.73,3273,6.83,89765,0.76,27.76
Brazil,2012,Diabetes,Neurological,7.99,1.47,2.56,19-35,Male,718125,92.62,1.52,4.29,Therapy,28827,No,71.31,855,4.59,42561,0.54,29.15
Australia,2024,Tuberculosis,Genetic,2.79,12.16,4.59,19-35,Other,912197,77.89,4.42,3.13,Therapy,40161,No,64.98,4632,8.54,71176,0.63,88.31
Indonesia,2004,Diabetes,Parasitic,0.22,12.91,8.99,36-60,Female,478244,73.26,3.55,5.05,Therapy,28966,No,98.71,1014,5.99,8336,0.47,30.12
Saudi Arabia,2003,Leprosy,Cardiovascular,13.87,2.13,3.46,61+,Other,513358,53.37,4.71,4.55,Medication,17796,No,69.62,3270,0.52,19538,0.81,84.39
Japan,2008,HIV/AIDS,Metabolic,13.83,3.71,0.19,36-60,Other,647000,65.08,3.79,5.6,Vaccination,11474,No,70.41,3538,8.53,58137,0.72,25.36
China,2009,Cholera,Metabolic,7.34,5.68,1.46,61+,Male,116382,64.65,3.64,8.67,Vaccination,47010,No,91.09,1668,9.75,53106,0.83,54.35
India,2012,Measles,Autoimmune,4.11,7.85,7.35,0-18,Female,198773,55.59,3.25,6.83,Therapy,9339,Yes,70.95,3183,8.13,31222,0.81,71.37
Saudi Arabia,2002,Measles,Cardiovascular,19.92,8.35,0.93,61+,Female,757194,74.7,1.42,0.76,Surgery,24074,Yes,84.0,2234,1.37,57935,0.75,30.57
Australia,2007,Tuberculosis,Cardiovascular,9.49,14.78,5.21,36-60,Male,939621,50.35,4.26,3.24,Surgery,7811,No,63.5,789,7.96,43177,0.84,67.47
Australia,2014,Rabies,Viral,14.9,10.95,1.07,19-35,Male,779698,81.52,1.33,6.51,Surgery,16841,No,78.59,1531,8.67,91929,0.67,28.98
Brazil,2024,Influenza,Metabolic,12.7,14.71,3.26,61+,Female,420890,87.03,4.53,3.21,Surgery,650,No,57.46,4406,0.15,93797,0.59,35.18
South Korea,2012,Asthma,Viral,14.35,12.46,4.56,0-18,Other,565700,95.52,4.77,4.1,Medication,8994,No,86.09,4249,8.47,75191,0.76,77.87
Saudi Arabia,2008,Cholera,Metabolic,15.1,10.56,6.05,0-18,Other,608299,77.09,4.2,2.1,Surgery,47051,Yes,55.4,1147,2.07,17713,0.72,33.27
France,2015,Malaria,Parasitic,15.58,8.6,4.73,36-60,Male,143961,59.26,1.21,1.64,Medication,38794,Yes,58.12,3441,5.7,28531,0.87,67.78
UK,2009,Leprosy,Infectious,13.78,5.5,6.38,0-18,Female,391975,92.09,1.37,2.63,Therapy,42108,No,65.89,3458,3.01,24923,0.69,68.36
South Africa,2001,Tuberculosis,Chronic,12.66,2.94,7.5,61+,Other,621761,71.52,3.99,0.96,Vaccination,5620,No,84.7,155,2.26,34402,0.88,75.49
Japan,2005,Cancer,Respiratory,2.32,14.54,7.25,19-35,Male,533056,57.83,2.27,1.75,Therapy,5069,No,87.52,1982,5.89,11763,0.87,83.67
Indonesia,2005,Hepatitis,Autoimmune,19.53,5.57,2.2,0-18,Female,16667,99.76,4.78,9.55,Surgery,36443,No,60.7,2678,8.86,75756,0.83,67.27
Italy,2023,Leprosy,Autoimmune,5.55,2.34,0.45,61+,Other,839435,89.46,1.71,1.24,Medication,16599,Yes,79.83,730,1.81,95231,0.73,85.87
France,2020,Dengue,Viral,16.02,1.29,5.72,61+,Male,593749,92.79,0.62,2.06,Therapy,7442,Yes,78.32,497,1.92,78839,0.87,72.75
France,2020,Rabies,Autoimmune,16.01,3.82,8.82,0-18,Female,514095,54.77,3.58,9.37,Medication,44988,Yes,78.24,277,5.5,67938,0.77,37.47
Mexico,2018,Leprosy,Chronic,12.29,4.67,2.55,36-60,Male,701609,75.84,4.2,4.05,Vaccination,18369,Yes,65.46,4122,9.27,80318,0.42,24.77
India,2005,Dengue,Cardiovascular,12.72,5.54,8.98,0-18,Male,841252,59.12,4.94,7.18,Therapy,8696,Yes,52.18,2122,4.74,99781,0.82,83.83
Italy,2018,Cholera,Infectious,14.31,0.94,3.7,61+,Female,500654,52.07,1.91,7.48,Therapy,23470,No,53.11,2838,5.31,91696,0.47,67.35
Indonesia,2005,Cancer,Autoimmune,3.55,7.62,5.48,19-35,Female,109920,57.34,0.92,5.65,Surgery,18522,No,85.24,1861,6.48,10085,0.57,69.54
South Africa,2007,Cancer,Neurological,9.31,7.1,5.38,61+,Male,51730,73.36,4.47,8.09,Medication,23158,No,74.71,3732,9.04,93907,0.63,30.93
South Korea,2014,Cholera,Autoimmune,1.76,11.18,0.7,61+,Female,412095,69.11,3.19,9.52,Vaccination,5012,Yes,68.24,1613,2.25,54667,0.47,74.3
Russia,2019,Rabies,Infectious,18.97,11.72,5.99,61+,Female,202691,60.68,0.59,8.23,Vaccination,47582,No,72.84,3364,4.73,50143,0.89,35.22
USA,2002,Measles,Infectious,12.64,7.27,2.3,19-35,Male,985408,82.77,4.57,6.59,Vaccination,18334,Yes,88.13,3842,8.55,5638,0.71,68.38
Brazil,2002,Influenza,Genetic,0.33,1.59,3.03,36-60,Female,162586,52.88,4.79,8.19,Therapy,2435,No,58.77,4679,7.18,47970,0.73,24.76
Nigeria,2015,Leprosy,Neurological,3.75,13.05,5.04,61+,Female,272219,94.03,0.55,0.95,Medication,31391,Yes,83.56,3270,5.63,24069,0.63,65.24
Japan,2007,Leprosy,Viral,1.52,0.25,1.72,36-60,Male,567094,79.95,0.56,9.62,Medication,7829,Yes,73.59,2234,6.88,47649,0.67,75.11
UK,2017,Cancer,Bacterial,14.07,0.61,3.24,61+,Male,10626,98.14,2.36,5.81,Medication,20263,No,51.89,3287,2.79,28827,0.78,32.37
Argentina,2014,Rabies,Viral,19.09,0.57,0.37,36-60,Other,487857,99.76,1.93,7.93,Surgery,40038,Yes,53.69,2100,3.01,57961,0.82,27.83
France,2005,Dengue,Infectious,6.76,4.35,1.45,19-35,Other,505838,79.11,2.6,3.32,Medication,40149,No,53.63,2075,3.55,1134,0.68,24.99
Nigeria,2020,Polio,Autoimmune,15.44,2.94,2.37,36-60,Other,261271,72.75,4.04,3.93,Medication,9703,Yes,98.22,382,3.02,36514,0.67,84.01
India,2013,COVID-19,Chronic,17.83,7.75,4.14,19-35,Male,110130,50.73,4.94,9.99,Vaccination,11797,No,65.75,2227,0.06,69383,0.45,89.19
Nigeria,2010,Rabies,Genetic,9.6,3.85,7.27,36-60,Other,774468,61.34,0.62,7.48,Therapy,39575,No,86.13,1370,4.53,27429,0.46,85.19
Brazil,2022,Zika,Respiratory,15.12,1.29,2.32,36-60,Male,731934,81.72,1.89,1.99,Surgery,21539,No,57.85,109,4.34,16181,0.66,64.95
Saudi Arabia,2004,Hepatitis,Bacterial,4.14,8.49,6.02,36-60,Female,744110,99.8,2.53,7.04,Vaccination,46495,No,51.97,1444,2.72,72898,0.69,80.94
Indonesia,2009,Polio,Respiratory,16.43,14.59,4.59,0-18,Other,894518,86.0,2.23,8.16,Vaccination,32113,No,58.52,4815,4.5,69218,0.43,60.54
Germany,2006,HIV/AIDS,Parasitic,16.32,12.84,7.18,19-35,Other,754273,91.51,3.33,2.08,Therapy,47338,No,84.41,3635,4.1,79302,0.47,56.89
Argentina,2007,Parkinson's Disease,Infectious,13.8,3.95,7.11,36-60,Other,499771,84.27,3.06,7.36,Vaccination,23674,No,97.29,524,6.3,66070,0.8,39.83
USA,2008,Influenza,Cardiovascular,18.88,14.73,3.5,19-35,Male,126959,93.29,1.44,6.75,Surgery,32087,No,77.93,2187,3.07,83753,0.77,87.76
France,2000,Hypertension,Chronic,13.46,10.75,3.63,36-60,Other,701034,74.81,4.92,0.64,Therapy,32675,Yes,87.97,2492,6.63,99126,0.81,31.05
Australia,2007,Diabetes,Viral,18.12,14.87,6.94,61+,Male,206224,90.7,4.77,3.94,Medication,49958,No,59.3,3190,9.08,39737,0.52,54.75
Germany,2017,Measles,Autoimmune,11.15,3.37,5.4,19-35,Female,733866,93.63,1.62,5.08,Therapy,43988,Yes,77.99,1827,6.54,10970,0.6,75.7
UK,2001,Tuberculosis,Parasitic,15.9,4.89,5.49,0-18,Other,897209,63.33,4.44,0.91,Medication,22437,Yes,65.65,1796,1.31,9334,0.46,89.49
Germany,2022,Hypertension,Infectious,8.42,3.03,4.21,19-35,Male,349872,98.93,4.26,0.74,Medication,47250,No,93.24,3982,4.62,69099,0.85,63.26
Italy,2014,Leprosy,Respiratory,9.95,7.52,2.9,36-60,Male,136925,88.35,0.71,4.91,Vaccination,45226,Yes,75.68,3295,6.75,76524,0.72,82.66
Germany,2021,HIV/AIDS,Infectious,7.74,1.8,6.51,61+,Female,795754,56.35,1.42,4.68,Surgery,2045,No,68.26,50,7.32,50366,0.87,42.26
China,2021,Measles,Neurological,17.63,11.06,3.9,19-35,Other,852484,78.74,4.74,3.58,Vaccination,21941,Yes,86.19,2230,2.92,82403,0.42,51.62
UK,2016,HIV/AIDS,Respiratory,13.7,9.6,7.87,19-35,Other,619413,83.04,2.3,6.35,Therapy,46677,Yes,56.55,1697,0.35,7869,0.53,57.94
France,2004,Ebola,Viral,16.62,13.76,0.45,36-60,Other,15944,56.22,1.99,4.51,Surgery,37593,Yes,66.05,3774,9.16,9333,0.71,42.69
Australia,2020,Measles,Viral,3.7,13.41,8.15,36-60,Other,864254,64.81,4.67,9.71,Surgery,41831,Yes,96.23,3587,5.41,42023,0.64,20.11
Brazil,2008,Cholera,Bacterial,2.6,13.64,1.11,36-60,Male,330501,73.5,1.07,9.92,Vaccination,5776,No,85.1,2381,8.35,87874,0.71,34.48
Canada,2019,Zika,Parasitic,18.24,8.68,5.08,0-18,Male,980768,51.32,1.25,8.94,Medication,31824,Yes,53.6,4217,9.28,38020,0.59,43.67
USA,2022,Parkinson's Disease,Cardiovascular,11.8,11.78,3.05,61+,Male,149839,76.69,2.86,7.58,Vaccination,32645,Yes,80.59,109,2.05,42949,0.77,41.47
Indonesia,2000,Parkinson's Disease,Metabolic,17.93,8.15,1.79,36-60,Male,614307,61.1,2.71,6.42,Therapy,9881,No,82.72,2119,5.73,10218,0.48,28.33
Germany,2018,Hepatitis,Autoimmune,0.98,11.8,8.18,36-60,Male,25715,95.5,1.89,5.33,Therapy,32209,No,92.68,2007,6.07,91165,0.83,66.37
Russia,2001,Rabies,Cardiovascular,9.57,6.51,3.91,61+,Other,191852,79.3,3.01,7.27,Surgery,15020,Yes,81.15,3212,2.21,78738,0.77,57.75
France,2024,Influenza,Chronic,15.75,1.32,4.54,36-60,Female,490010,75.11,4.83,5.81,Therapy,16821,Yes,93.72,2729,8.33,41376,0.56,88.98
Canada,2011,Ebola,Metabolic,14.6,0.19,7.13,36-60,Other,741161,84.63,1.04,6.77,Therapy,7978,No,52.88,2439,5.36,27408,0.71,79.29
Turkey,2018,Cholera,Genetic,3.15,8.75,1.38,36-60,Other,323467,98.09,2.86,1.43,Therapy,8375,Yes,82.75,2778,0.53,30435,0.76,64.17
India,2017,Parkinson's Disease,Genetic,4.91,9.52,4.57,0-18,Other,642901,87.02,2.1,7.32,Vaccination,29598,No,74.34,15,8.43,38908,0.65,81.51
Mexico,2009,Parkinson's Disease,Metabolic,2.05,3.93,5.94,36-60,Female,59251,99.44,4.64,6.77,Vaccination,44457,Yes,77.47,2380,5.56,95662,0.71,83.87
Turkey,2022,Hypertension,Neurological,6.65,13.05,9.6,36-60,Male,509170,71.69,1.85,9.29,Therapy,33883,No,50.29,987,1.27,55100,0.56,40.37
UK,2004,Cholera,Respiratory,8.94,10.3,3.19,19-35,Female,922492,87.84,1.43,6.07,Therapy,17553,No,80.25,4038,8.79,14371,0.8,31.87
India,2014,Cholera,Infectious,18.4,4.83,4.92,0-18,Other,776951,84.73,3.34,4.04,Surgery,19224,No,51.21,3793,5.82,62667,0.72,66.97
Brazil,2000,Alzheimer's Disease,Infectious,5.62,3.38,4.21,19-35,Other,373441,76.48,2.06,3.09,Vaccination,41170,No,52.93,1119,7.13,74437,0.53,83.52
Argentina,2000,Parkinson's Disease,Cardiovascular,4.86,13.77,6.56,36-60,Female,703783,56.1,4.76,1.64,Vaccination,29986,Yes,60.29,2275,2.53,23917,0.77,39.98
Turkey,2014,Measles,Respiratory,18.82,11.65,1.9,19-35,Other,133104,61.24,2.24,9.44,Vaccination,41838,No,50.47,3821,2.78,30598,0.52,86.49
UK,2011,Leprosy,Chronic,7.9,8.46,1.56,19-35,Male,269159,95.04,3.38,8.11,Medication,35868,Yes,75.41,323,2.68,45484,0.8,80.88
Brazil,2024,Influenza,Bacterial,11.3,13.26,6.13,19-35,Male,400271,78.85,2.85,9.82,Surgery,20403,Yes,68.94,604,7.94,44015,0.76,50.82
Brazil,2014,Alzheimer's Disease,Metabolic,13.06,14.9,3.85,36-60,Female,863259,85.11,3.49,4.99,Therapy,22556,Yes,77.45,4786,9.95,72367,0.76,40.13
Indonesia,2010,Rabies,Bacterial,0.82,0.43,9.93,36-60,Male,703894,95.4,3.07,6.81,Surgery,39105,Yes,63.36,4531,0.17,13583,0.42,59.33
Australia,2006,Polio,Bacterial,14.83,10.09,4.64,19-35,Female,883662,95.89,3.17,7.8,Surgery,18446,Yes,84.91,2148,2.14,72955,0.54,28.71
Canada,2008,Asthma,Infectious,18.44,8.52,7.76,0-18,Other,144702,50.24,3.36,6.46,Surgery,13128,No,80.39,4201,9.11,12559,0.59,84.99
Saudi Arabia,2023,Zika,Neurological,8.12,2.65,1.34,0-18,Female,413700,68.27,2.9,9.69,Therapy,33763,Yes,92.48,2679,0.96,74991,0.69,41.07
Canada,2002,Rabies,Parasitic,11.43,13.06,4.59,36-60,Female,779856,54.48,3.17,2.86,Therapy,48344,No,83.65,4791,0.71,95005,0.68,38.63
Turkey,2018,Diabetes,Viral,18.24,8.09,1.8,61+,Female,408285,80.58,3.77,3.68,Vaccination,23338,No,52.11,664,6.28,62474,0.71,33.9
South Korea,2021,Cancer,Respiratory,9.63,3.08,1.6,19-35,Male,934854,99.02,2.88,3.76,Therapy,9301,No,56.67,1229,3.31,83262,0.84,26.73
South Korea,2003,Polio,Cardiovascular,14.37,12.02,2.6,61+,Female,780191,73.67,2.76,6.35,Therapy,30900,Yes,62.98,3319,4.54,46862,0.77,40.24
Italy,2006,Tuberculosis,Metabolic,0.91,14.86,7.76,36-60,Male,896608,78.15,1.75,1.48,Vaccination,17117,Yes,74.81,873,6.79,78129,0.69,29.45
Japan,2000,HIV/AIDS,Cardiovascular,3.14,13.47,4.2,61+,Other,204016,98.11,1.03,1.05,Surgery,11538,No,59.38,313,5.68,88191,0.58,78.9
South Africa,2002,COVID-19,Viral,16.81,3.23,7.39,19-35,Female,470955,93.98,1.41,3.88,Medication,34806,No,77.65,1411,3.24,67605,0.44,39.44
Canada,2012,Zika,Bacterial,8.61,2.73,2.26,36-60,Other,949385,52.08,4.63,6.89,Medication,9703,Yes,83.16,2551,4.98,37369,0.86,77.92
Indonesia,2009,Dengue,Metabolic,6.44,8.44,0.86,19-35,Male,687786,60.01,2.29,5.3,Vaccination,195,Yes,89.02,3085,8.81,90004,0.52,82.18
Italy,2002,Malaria,Parasitic,9.87,1.95,3.9,0-18,Female,655401,62.1,0.77,2.77,Surgery,17711,Yes,90.58,3950,2.9,96428,0.74,48.66
South Africa,2020,Ebola,Autoimmune,17.25,7.87,3.66,0-18,Other,148785,56.23,4.15,9.34,Surgery,7891,Yes,51.96,3147,4.05,14549,0.78,24.4
Indonesia,2005,HIV/AIDS,Metabolic,14.14,5.89,9.02,36-60,Male,843300,55.0,4.62,4.56,Therapy,1073,Yes,97.49,2547,9.58,2179,0.67,36.64
Indonesia,2021,Influenza,Autoimmune,2.48,2.57,2.03,0-18,Other,584925,68.79,3.42,4.51,Medication,10255,No,80.03,4331,8.2,71483,0.6,50.56
Germany,2014,Parkinson's Disease,Genetic,2.15,8.94,4.58,0-18,Male,124719,57.84,2.81,4.43,Medication,24125,Yes,56.51,114,5.02,65837,0.78,31.35
Germany,2002,Hepatitis,Cardiovascular,7.13,7.71,7.74,36-60,Female,494613,51.17,3.77,6.27,Medication,46354,No,95.09,1538,8.58,90492,0.64,86.74
India,2024,Leprosy,Infectious,16.01,4.69,8.69,19-35,Male,449513,72.27,3.53,9.92,Therapy,39467,No,63.14,3568,6.34,83270,0.66,48.21
South Africa,2022,Asthma,Bacterial,19.97,2.34,0.32,19-35,Other,542641,99.41,1.89,8.57,Medication,37764,No,63.48,896,5.77,4421,0.83,27.51
Canada,2016,Cancer,Chronic,5.54,7.23,3.87,36-60,Male,677602,57.52,0.74,2.07,Medication,28139,Yes,83.67,362,8.06,42662,0.55,73.78
Russia,2017,Cholera,Respiratory,12.18,0.65,5.87,0-18,Female,760533,88.99,4.43,9.9,Therapy,2552,No,81.21,2799,0.31,34745,0.65,79.41
France,2013,Asthma,Chronic,7.45,12.16,0.96,0-18,Male,47328,52.44,0.67,6.49,Medication,36446,No,93.76,4507,9.29,62059,0.75,72.84
Argentina,2019,Polio,Genetic,1.29,9.2,4.44,61+,Other,614812,68.07,3.04,3.83,Medication,29674,Yes,68.39,686,3.8,86672,0.8,35.91
Japan,2005,Alzheimer's Disease,Parasitic,18.53,6.47,5.04,36-60,Male,799027,70.03,1.16,7.86,Therapy,21856,No,75.45,566,8.41,87629,0.57,46.14
Argentina,2005,Dengue,Neurological,5.57,5.16,0.88,19-35,Female,245019,62.05,2.47,6.65,Surgery,21333,No,81.7,2930,8.55,97062,0.8,58.01
Germany,2005,COVID-19,Infectious,13.01,9.09,1.2,61+,Female,92097,58.76,3.42,3.82,Surgery,33297,Yes,65.26,3473,7.14,57702,0.51,37.02
Mexico,2022,Hypertension,Neurological,10.89,13.71,4.62,0-18,Female,192860,98.57,4.48,4.41,Vaccination,43861,No,53.43,2320,9.39,55886,0.61,33.4
Japan,2010,Rabies,Chronic,10.56,13.83,5.83,36-60,Female,864603,86.0,2.56,7.25,Therapy,12591,No,85.34,170,2.64,39938,0.57,22.96
Germany,2018,Cancer,Chronic,15.37,5.01,9.76,61+,Female,416319,58.14,1.8,5.17,Therapy,42332,Yes,84.96,1831,1.34,96500,0.56,85.54
Germany,2016,Hypertension,Bacterial,10.67,3.67,5.85,61+,Other,799004,60.71,2.47,3.48,Surgery,32730,No,51.71,1683,1.31,62853,0.45,49.34
South Africa,2010,Cholera,Parasitic,5.43,5.99,3.15,0-18,Female,247824,75.19,3.43,6.97,Vaccination,22930,No,62.16,4634,7.74,80728,0.43,53.29
Brazil,2019,Tuberculosis,Autoimmune,15.65,2.55,7.44,0-18,Other,941684,52.06,0.8,3.58,Surgery,19989,No,89.08,213,0.4,49684,0.59,75.48
Saudi Arabia,2002,Hypertension,Autoimmune,18.06,3.95,1.25,36-60,Male,905138,90.84,1.29,5.05,Vaccination,10090,No,51.28,306,9.37,21361,0.48,60.06
